chat_id,slug,token,organization_id,conversation_log,structured_info,created_at,updated_at,language,is_test_chat,sentiment,resolution,message_count
5500405,slug_61218,token_63825,17,"[{""id"": ""785cbb48-29b1-4831-99b6-d8a1ba0c4b1d"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""025dd548-0015-45c7-9c89-138ef7cc3766"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:55:10.546493,2025-05-28T12:55:10.560016,nl,,,,2
5500404,slug_27519,token_30784,17,"[{""id"": ""2c0bd3b5-be6c-4ee6-bedb-946d04d8b254"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""adaccc73-5b07-4b84-9c85-a2e856295552"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:55:09.719146,2025-05-28T12:55:09.787616,nl,,,,2
5500403,slug_85811,token_42508,17,"[{""id"": ""24130c0b-33e5-4e4f-8fd5-c60dfd08ec46"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""7c31314a-3287-495f-9d2c-95bf93eef125"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:55:07.432335,2025-05-28T12:55:07.484854,nl,,,,2
5500402,slug_44016,token_52562,17,"[{""id"": ""de61e173-273e-4920-9cf8-523bebdac079"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""517cf284-8a78-4b25-9511-589e181a0e13"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:55:05.427998,2025-05-28T12:55:05.481037,nl,,,,2
5500401,slug_38761,token_87874,17,"[{""id"": ""480bfa2a-b457-42a3-9139-cc4d1d5be9df"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""7e69d7bf-157d-41b7-a48f-c8a2314fcaeb"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:55:03.429205,2025-05-28T12:55:03.484103,nl,,,,2
5500400,slug_62893,token_90719,5,"[{""id"": ""18e43f77-3811-4a76-b2ef-4706e5936aa8"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Bonjour, Je suis V\u00e9v\u00e9 votre compagnon virtuel pour votre prochain s\u00e9jour \u00e0 v\u00e9lo ! Je suis l\u00e0 pour vous assister dans la recherche de votre s\u00e9jour \u00e0 v\u00e9lo id\u00e9al sur notre site. Notre \u00e9quipe est \u00e9galement disponible pour r\u00e9pondre \u00e0 toutes vos questions. En selle, c'est parti !"", ""disclaimer"": ""Toutes les r\u00e9ponses sont g\u00e9n\u00e9r\u00e9es sur la base du contenu de notre site web et blog. Si vous constatez des incoh\u00e9rences, n'h\u00e9sitez pas \u00e0 nous les transmettre \u00e0 [[EMAIL]](mailto:[EMAIL]).""}, {""id"": ""5ab1fbe0-974e-4fb8-8042-a026d16f07e8"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Comment puis-je vous aider ?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:55:02.924754,2025-05-28T12:55:02.972764,fr,,,,2
5500399,slug_17239,token_75617,17,"[{""id"": ""245954ab-01d5-4e18-ad54-5f569774937f"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""a9d316a5-2ec5-4f05-8424-84358d553385"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:55:01.569082,2025-05-28T12:55:01.583151,nl,,,,2
5500398,slug_25585,token_86458,17,"[{""id"": ""821812ff-9dfd-41b2-9de0-90c9cc13a51f"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""569697ef-bf9c-456d-bd75-1860318c9b4b"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:55:00.790910,2025-05-28T12:55:00.837728,nl,,,,2
5500397,slug_27454,token_14683,17,"[{""id"": ""816bd90f-5cd8-4a4c-896a-07da34917e62"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""c81b6bc4-6290-4a08-9830-9c76e0fed398"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:54:58.932890,2025-05-28T12:54:58.989104,nl,,,,2
5500396,slug_02179,token_70146,17,"[{""id"": ""ba4d9a9f-d2c4-4d5e-9683-b95ceaac5440"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Hallo, ik ben Vera, jouw online reisassistent! Stel me je vragen en ik help je bij het vinden van je perfecte vakantie of geef je praktische informatie voor een zorgeloze vakantie."", ""disclaimer"": ""Vera is nieuw bij Zoover als online reisassistent. Ze gebruikt AI voor haar antwoorden en kan daarom fouten maken. Laat het ons gerust weten als je iets opmerkt met een duimpje naar beneden. Je gegevens worden verwerkt volgens ons [privacybeleid](https://www.zoover.nl/privacycookiebeleid).""}, {""id"": ""6b5c681b-6776-47e4-9141-00823d2700b0"", ""role"": ""assistant"", ""type"": ""default"", ""content"": ""Waarmee kan ik je helpen?"", ""disclaimer"": null}]","{""actions"": [""get_in_touch""]}",2025-05-28T12:54:57.920494,2025-05-28T12:54:57.932733,nl,,,,2
